species,response,n,r2,pyr_b,pyr_p,pyr_lo,pyr_hi,op_b,op_p,op_lo,op_hi,yr_b,yr_p
Barn Swallow,cnt_barn_swallow,122,0.06042965407368772,-0.13786090739218732,0.2973757283207433,-0.397157712843814,0.12143589805943938,-0.0539083054602008,0.590859459451705,-0.2504523004570239,0.14263568953662226,-0.10089811309290095,0.01053735389544635
Cliff Swallow,cnt_cliff_swallow,122,0.011105383394547252,0.06463776507825454,0.5693557168437324,-0.15801580388202724,0.2872913340385363,-0.09512973120807854,0.2316702975383872,-0.251019181015524,0.06075971859936692,0.027644451786411322,0.5092309338612593
Tree Swallow,cnt_tree_swallow,122,0.0012708735804811688,-0.026082523641742492,0.7950880671668967,-0.22292475758179262,0.17075971029830764,0.015083904844923099,0.4547594607370741,-0.024466998140410097,0.054634807830256295,-0.008067903363179495,0.8417386254984829
Western Kingbird,cnt_western_kingbird,122,0.014364381244883373,-0.032057467615954426,0.5580904946795817,-0.13933895827002982,0.07522402303812098,-0.06900019513228614,0.575733689828914,-0.310661718842988,0.17266132857841568,0.018947641997840943,0.4661087164216007
All Swallows,cnt_swallows_total,122,0.018516002134537524,0.06503181057348215,0.3911339914304468,-0.08360146380581329,0.21366508495277758,-0.08638315921043317,0.2986760771696464,-0.24929549554958597,0.07652917712871964,-0.009412519987729902,0.7562674997953145
