species,response,n,r2,share_b,share_p,share_lo,share_hi,tot_b,tot_p,yr_b,yr_p,share_mean,share_p10,share_p90
Barn Swallow,cnt_barn_swallow,93,0.008041159377761509,-0.024313361099038665,0.8696308849009493,-0.31466219871652107,0.2660354765184438,-0.09732770885700061,0.43915232667574233,-0.005634914743051095,0.9108357109869777,0.5581926270136426,0.030425739961830595,1.0
Cliff Swallow,cnt_cliff_swallow,93,0.05476869782238081,-0.08430275569259643,0.5767930066504355,-0.3803800389077378,0.21177452752254494,-0.15193249843665868,0.19290630137509657,-0.08225435552814046,0.07287142487545287,0.5581926270136426,0.030425739961830595,1.0
Tree Swallow,cnt_tree_swallow,93,0.00941770714489365,-0.0013618294412730614,0.9892459573159679,-0.19939317852462554,0.19666951964207943,0.05410699815875958,0.5117853703699025,0.013930210835093677,0.6425643306971855,0.5581926270136426,0.030425739961830595,1.0
Western Kingbird,cnt_western_kingbird,93,0.12187692604529654,-0.09462384543360519,0.15845414688739468,-0.22613067826317915,0.036882987395968764,-0.014011759605731025,0.8098844575768779,-0.056304671052570636,0.0012890387902346795,0.5581926270136426,0.030425739961830595,1.0
All Swallows,cnt_swallows_total,93,0.03273166269052674,-0.022554101076580964,0.7720266960594659,-0.17513344867517547,0.13002524652201355,-0.059334568662907025,0.4358104761304261,-0.040649135913603966,0.05939473250967582,0.5581926270136426,0.030425739961830595,1.0
