CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,x_3310,y_3310,n_pur_5km,lbs_ai_5km
840,14,62,IVANPAH,1,35.5408027,-115.4289179,83,33,1,1,413891.68020633364,-265150.0512179993,0,0.0
840,14,63,TRONA,1,35.8180322,-117.342044,83,33,1,1,239864.864688566,-240970.64821200585,0,0.0
840,14,64,TECOPA,1,35.8040435,-116.1930811,83,33,1,1,343567.06378006726,-238988.5775509011,0,0.0
840,14,65,SODA LAKE,1,35.1091439,-116.1438409,83,33,1,1,351146.82600299834,-315927.07989756344,0,0.0
840,14,67,ESSEX,1,34.7336313,-115.2438758,83,33,1,1,435127.11447272694,-353843.1987137706,0,0.0
840,14,68,FLYNN,1,34.9755274,-115.6467441,83,33,1,1,397064.080309291,-328787.75474984804,0,0.0
840,14,71,POINT REYES,1,38.0453507,-122.8668979,93,32,1,1,-251230.46099130035,7020.93288247101,0,0.0
840,14,73,INGALLS,1,41.6796987,-120.7128219,85,9,1,1,-59439.41696850483,407137.0151247056,0,0.0
840,14,74,MARTINS FY,1,41.2017931,-123.8016231,93,5,1,1,-319045.77288957237,360293.5282263011,0,0.0
840,14,75,RIO DELL,1,40.5280727,-124.1636509,93,5,1,1,-352693.07946501864,286854.7618288966,0,0.0
840,14,76,RAVENDALE,1,40.7999549,-120.3646258,89,9,1,1,-30780.35399564576,309354.7334618252,0,0.0
840,14,77,SHASTA LAKE,1,40.8737513,-122.2919583,92,5,1,1,-193262.20587394282,319823.81203722116,0,0.0
840,14,78,JOHNSVILLE,1,39.7846537,-120.6326679,66,15,1,1,-54159.667397410514,196715.29257382918,0,0.0
840,14,79,COHASSET,1,39.9935292,-121.704424,92,32,1,1,-145483.64742465917,221047.42311029695,0,0.0
840,14,80,ORLAND,1,39.7633427,-122.2390059,91,32,1,1,-191710.0842590917,196430.68605302367,2826,10593.687824070003
840,14,81,NAVARRO,1,39.1612277,-123.5822599,93,5,1,1,-309206.3336639383,133100.76149396691,19,11.9160816
840,14,82,WOODFORDS,1,38.7754607,-119.8237379,66,15,1,1,15297.563877857587,84396.31590771675,1,12.77303182
840,14,83,FAIRFAX,1,37.9851247,-122.5909499,93,32,1,1,-227238.01761554927,-367.73140021506697,0,0.0
840,14,84,BENTON,1,37.8002217,-118.5296169,88,9,1,1,129288.90266625218,-23025.431541296653,1,37.6865556
840,14,85,LUCERNE VAL,1,34.4584537,-116.9455029,83,33,1,1,280501.77768024977,-390782.816057893,18,153.4310412
840,14,86,HAVASU LAKE,1,34.4912299,-114.4066433,82,33,1,1,513227.7635918636,-376520.65185528575,0,0.0
840,14,88,COTTONWOOD,1,33.6738577,-115.8016279,82,33,1,1,389340.1261485288,-473714.8328294251,0,0.0
840,14,89,NILAND,1,33.2200507,-115.4847789,82,33,1,1,421096.80976803217,-522611.91699467413,2607,27839.119542619992
