chemical_class,buffer_m,lag_window_days,lbs_ai,acres_treated,tox_units_avian,tox_units_aquatic,n_sections_intersected,n_applications,location_id,survey_start,survey_end,spatial_join
Spinosyns,5000,90,21.2948,244.3235,0.009466,0.093307,36,516,BBS_CA_054_ORANGE_COVE_2015,2015-05-28,2015-06-10,plss_spatial
Diamides,500,30,0.0052,0.0442,2e-06,0.000259,3,7,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,500,30,0.0298,0.5037,2.1e-05,0.083958,3,31,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,500,30,0.0328,0.5432,1.5e-05,0.000144,3,33,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,1000,30,0.0201,0.1713,9e-06,0.001005,3,7,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,1000,30,0.1163,1.9608,8.3e-05,0.327609,3,31,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,1000,30,0.1259,2.1119,5.6e-05,0.000552,3,33,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,2000,30,0.1406,1.1579,6.2e-05,0.007028,8,19,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,2000,30,0.1536,0.9323,0.000662,2e-06,3,13,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,2000,30,3.3211,1.8853,0.084721,33.210518,5,13,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,2000,30,0.672,8.2459,0.000517,1.696266,10,95,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,2000,30,0.1947,0.7037,0.00628,2e-06,2,4,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,2000,30,0.9928,14.9823,0.000441,0.004354,11,129,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,5000,30,3.929,35.4807,0.001746,0.214774,21,66,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,5000,30,1.6086,9.6804,0.006934,2.1e-05,4,15,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,5000,30,75.8521,24.1618,1.976392,752.585739,14,40,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,5000,30,9.2245,85.3594,0.007244,23.942215,32,268,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,5000,30,6.2171,24.02,0.199293,7.3e-05,8,14,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,5000,30,10.0036,126.222,0.004449,0.043705,34,311,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,500,60,0.0069,0.0639,3e-06,0.000375,3,11,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,500,60,0.0351,0.6913,2.4e-05,0.112515,3,36,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,500,60,0.0405,0.7308,1.8e-05,0.000178,3,38,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,1000,60,0.0269,0.2472,1.2e-05,0.001451,3,11,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,1000,60,0.1387,2.7502,9.6e-05,0.447782,3,36,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,1000,60,0.1583,2.9012,7e-05,0.000694,3,38,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,2000,60,0.3097,2.1462,0.000138,0.020264,11,35,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,2000,60,0.1536,0.9323,0.000662,2e-06,3,13,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,2000,60,3.5473,2.1066,0.085351,33.533744,5,14,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,2000,60,0.844,11.7347,0.000637,2.359701,10,127,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,2000,60,0.2754,0.8244,0.008702,3e-06,2,6,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,2000,60,1.2111,20.086,0.00054,0.005226,11,167,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Carbamates,5000,60,0.1115,0.1238,0.004606,0.014666,1,1,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,5000,60,7.3413,60.799,0.003263,0.437483,26,99,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,5000,60,1.6086,9.6804,0.006934,2.1e-05,4,15,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,5000,60,77.8109,26.0864,1.984089,756.229151,16,43,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,5000,60,12.1491,114.6966,0.009449,31.978922,35,375,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,5000,60,10.6579,34.0075,0.337173,0.000125,12,36,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,5000,60,13.6072,186.4723,0.006063,0.058773,35,449,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,500,90,0.0069,0.0639,3e-06,0.000375,3,11,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,500,90,0.0351,0.6913,2.4e-05,0.112515,3,36,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,500,90,0.0405,0.7308,1.8e-05,0.000178,3,38,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,1000,90,0.0269,0.2472,1.2e-05,0.001451,3,11,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,1000,90,0.1387,2.7502,9.6e-05,0.447782,3,36,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,1000,90,0.1583,2.9012,7e-05,0.000694,3,38,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,2000,90,0.3097,2.1462,0.000138,0.020264,11,35,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,2000,90,0.1536,0.9323,0.000662,2e-06,3,13,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,2000,90,3.5473,2.1066,0.085351,33.533744,5,14,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,2000,90,0.8442,11.7427,0.000637,2.360437,10,133,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,2000,90,0.2754,0.8244,0.008702,3e-06,2,6,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,2000,90,1.3246,21.4775,0.00059,0.005724,11,168,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Carbamates,5000,90,0.1115,0.1238,0.004606,0.014666,1,1,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Diamides,5000,90,7.4861,62.5677,0.003327,0.449961,27,113,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Next-gen systemics,5000,90,1.6086,9.6804,0.006934,2.1e-05,4,15,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Organophosphates,5000,90,77.8109,26.0864,1.984089,756.229151,16,43,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,5000,90,12.6033,129.4173,0.009676,34.325659,35,409,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Restricted neonics,5000,90,10.715,34.7658,0.337272,0.000126,13,40,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Spinosyns,5000,90,14.5574,198.2622,0.006485,0.06294,35,452,BBS_CA_054_ORANGE_COVE_2016,2016-05-28,2016-06-10,plss_spatial
Pyrethroids,500,30,0.0428,1.0971,2.1e-05,0.174925,3,28,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,500,30,0.0433,0.086,0.001398,1e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,500,30,0.1116,1.1273,5e-05,0.000489,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,1000,30,0.1687,4.2894,8.4e-05,0.68864,3,28,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,1000,30,0.1824,0.3618,0.005884,2e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,1000,30,0.4378,4.4026,0.000195,0.00192,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,2000,30,0.247,1.6943,0.001065,3e-06,2,12,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,2000,30,5.5698,3.0501,0.142086,55.697577,2,6,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,2000,30,0.0717,0.2876,0.000731,1e-06,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,2000,30,1.1681,19.5086,0.000769,3.790006,10,111,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,2000,30,1.9557,3.9954,0.063086,2.3e-05,6,12,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,2000,30,2.2149,23.2225,0.000984,0.009714,11,156,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,5000,30,0.1799,1.7775,8e-05,0.010678,6,18,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,5000,30,2.3832,15.9565,0.010272,3.1e-05,4,15,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,5000,30,81.8657,31.0711,2.09667,817.293643,9,25,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,5000,30,0.611,2.4518,0.006234,1.2e-05,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,5000,30,29.1024,236.2089,0.022631,77.127786,34,318,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
