species,response,n_obs,n_routes,r2_within,pyr_beta,pyr_se,pyr_p,pyr_ci_lo,pyr_ci_hi,op_beta,op_se,op_p,op_ci_lo,op_ci_hi,yr_beta,yr_p
Barn Swallow,cnt_barn_swallow,150,28,0.008469019963041058,-0.030761374574248605,0.07194320493430878,0.6689579517368613,-0.1717700562454938,0.1102473070969966,-0.05706618003384888,0.07022700145590216,0.41644972928680957,-0.1947111028874171,0.08057874281971933,-0.008719658520273815,0.7572010017902626
Cliff Swallow,cnt_cliff_swallow,150,28,0.005492233635682409,0.04663622481665097,0.06069321415807137,0.4422538952853893,-0.07232247493316891,0.16559492456647085,-0.04266473015034253,0.07089150134556496,0.5472863841486266,-0.18161207278764985,0.09628261248696479,-0.01935923344031683,0.5781119149302676
Tree Swallow,cnt_tree_swallow,150,28,0.0010837939769670069,-0.004724294070017354,0.04885940760913074,0.9229713144879534,-0.1004887329839136,0.09104014484387889,0.02065890112201066,0.019350385975346503,0.28569097764828,-0.017267855389668484,0.0585856576336898,0.004056824411576506,0.8603044697735217
Western Kingbird,cnt_western_kingbird,150,28,0.0653576553851154,-0.006483093050518124,0.04036709583720939,0.872405772735275,-0.08560260089144853,0.07263641479041227,0.03304656988600801,0.052283902258985236,0.5273475887340917,-0.06942987854160304,0.13552301831361907,-0.04500909026292092,0.0012630059034427705
All Swallows,cnt_swallows_total,150,28,0.020445110070016592,0.053551840467419176,0.04633526715824875,0.24778470644134076,-0.03726528316274837,0.1443689640975867,-0.04422091422220067,0.06553008618323218,0.49979108753020673,-0.17265988314133573,0.08421805469693439,-0.026995904723284114,0.17612864591630073
