species,response,n,r2,n_heavy,n_light,threshold_op,post_b,post_p,did_b,did_p,did_lo,did_hi
Barn Swallow,cnt_barn_swallow,126,0.01405442140496016,14,14,133.882960625,-0.09383006037509112,0.13746428959667673,-0.18278816868722392,0.5887512878990001,-0.8454482189503435,0.47987188157589566
Cliff Swallow,cnt_cliff_swallow,126,0.026215283927255473,14,14,133.882960625,0.17744430344005915,0.4637480596784066,-0.6207023083452439,0.1024601324369369,-1.3656778900333149,0.12427327334282723
Tree Swallow,cnt_tree_swallow,126,0.00039810670406392745,14,14,133.882960625,-0.02690424344967117,0.8831436575698398,-0.0007239320897980822,0.9977972537162432,-0.514683472403938,0.5132356082243419
Western Kingbird,cnt_western_kingbird,126,0.06971350885329075,14,14,133.882960625,-0.023351993955385578,0.7935021106687413,-0.40143483732885127,0.03667294760967975,-0.7780105882074582,-0.024859086450244428
All Swallows,cnt_swallows_total,126,0.04069938457424149,14,14,133.882960625,-0.16032737922134416,0.332085723245631,-0.17288380059948286,0.4441873896518663,-0.6157460988646354,0.2699784976656697
