species,response,n_obs,n_routes,aic,pyr_beta,pyr_se,pyr_p,pyr_ci_lo,pyr_ci_hi,pyr_mu,pyr_sd,op_beta,op_se,op_p,op_ci_lo,op_ci_hi,op_mu,op_sd
Barn Swallow,cnt_barn_swallow,150,28,455.6482419372293,0.004921066923752553,0.13206118307598474,0.9702748776901955,-0.25391885190517755,0.26376098575268264,294.43877993333336,550.9402559939797,-0.029793129867539247,0.09025298333807222,0.7413192121779677,-0.20668897721016077,0.1471027174750823,568.4092439,1592.7769845190667
Cliff Swallow,cnt_cliff_swallow,150,28,525.7290627908102,0.20401857436352464,0.17098981028691923,0.23280586424746363,-0.13112145379883702,0.5391586025258863,294.43877993333336,550.9402559939797,-0.05736135178661503,0.11230687472508838,0.6095222862859834,-0.27748282624778825,0.1627601226745582,568.4092439,1592.7769845190667
Tree Swallow,cnt_tree_swallow,150,28,401.6523647601333,-0.00014958907579698373,0.10743696459641193,0.9988890715972137,-0.21072603968476436,0.2104268615331704,294.43877993333336,550.9402559939797,0.013049563363227457,0.0747580505970854,0.8614275040835792,-0.13347621580705993,0.15957534253351485,568.4092439,1592.7769845190667
Western Kingbird,cnt_western_kingbird,150,28,343.0375803904757,0.03199192072444823,0.08800926851765604,0.7162267317136757,-0.14050624557015762,0.20449008701905408,294.43877993333336,550.9402559939797,0.029203356368859058,0.05629155929009465,0.6039089474270091,-0.08112809983972645,0.13953481257744457,568.4092439,1592.7769845190667
All Swallows,cnt_swallows_total,150,28,412.0164713861185,0.18961581447399214,0.11015959966395364,0.0851995350114472,-0.02629700086735698,0.40552862981534127,294.43877993333336,550.9402559939797,-0.05054589931065265,0.07101994417713695,0.4766418026729209,-0.18974498989784105,0.08865319127653576,568.4092439,1592.7769845190667
