"species_code","common_name","n_cells","ppy_median","ppy_lower","ppy_upper","pct_declining","trend_years"
"cliswa","Cliff Swallow",66,-1.51718743405384,-3.31380869686576,0.0670661964452711,90.9090909090909,"2012-2022"
"treswa","Tree Swallow",51,-1.1004897350356,-2.77528025644147,0.674757684990817,76.4705882352941,"2012-2022"
"barswa","Barn Swallow",49,-2.13941159427954,-3.25188908663491,-0.710247064315583,95.9183673469388,"2012-2022"
"nrwswa","Northern Rough-winged Swallow",60,-0.301018828679867,-1.90628343697116,1.4605841530735,61.6666666666667,"2012-2022"
