"species_code","common_name","abd_ppy","abd_ppy_lower","abd_ppy_upper","COUNTYFP","NAME","pre_lbs","post_lbs","pyr_delta","pyr_pct_change"
"cliswa","Cliff Swallow",2.89968079236541,1.35696653350913,4.50557433148945,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.04704495207352,-3.93467624012624,0.925589142564166,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-4.73823073762388,-6.1652091542135,-3.2481676763687,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.25060230425627,-4.20760786204638,-0.495497417564561,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",1.12616143959761,-0.922347527825248,2.27803495020173,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-4.94218445554618,-6.43176376857713,-3.21654206411678,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.62003139240445,-4.46894605166709,-0.98852507563581,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-0.943351258096347,-2.42932022668532,0.77565515679935,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.91829195077396,-4.56090120681458,-1.70708878471166,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-1.80902316837518,-3.39263713990983,0.00641752687045416,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.35402391063063,-4.29906186997927,0.543661355713861,"089","Shasta",1569.7237798975,1418.14744244567,-151.576337451833,-9.6562426710342
"cliswa","Cliff Swallow",-2.45906927364675,-4.68505934581014,0.023064165109226,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-1.12198916660634,-1.98407275364489,0.744496864296112,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-2.54537876957696,-4.20691626936216,-1.03949838991045,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-2.96634668317907,-4.73413169025201,-0.865667717674948,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-5.83256771084552,-9.1352136357443,-1.63823804311023,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-2.83607165433916,-6.12146796406099,-1.02418780910462,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-1.59103221096401,-2.78563890118567,-0.0765086044836921,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-2.76391280872578,-4.57931836107799,-1.10154233136263,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-2.98096487124506,-4.04663552654012,-1.39287924559541,"103","Tehama",4776.66591676875,5224.39196343667,447.726046667916,9.37319156225997
"cliswa","Cliff Swallow",-5.03168398360042,-6.37739386024012,-0.16823566803641,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-2.7442028291265,-4.66277125807092,-1.16382390462601,"021","Glenn",12806.2711332137,12293.6018092067,-512.669324007084,-4.00326776369312
"cliswa","Cliff Swallow",-1.7484955561566,-3.0686495222462,-0.470620963774888,"021","Glenn",12806.2711332137,12293.6018092067,-512.669324007084,-4.00326776369312
"cliswa","Cliff Swallow",-2.93236730123127,-4.6477952820895,-0.7580276789738,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-2.65941586573219,-3.62173326748257,-1.31411947401341,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-1.55028190338424,-3.64691326261553,0.761963669967763,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-0.321785988256909,-2.5924929319436,1.78063423707115,"033","Lake",1718.69798919125,1912.59252373333,193.894534542083,11.2814779421091
"cliswa","Cliff Swallow",-1.24759032785103,-3.05669650536448,-0.163309503995386,"021","Glenn",12806.2711332137,12293.6018092067,-512.669324007084,-4.00326776369312
"cliswa","Cliff Swallow",-0.314474157185608,-1.87167676165729,1.34393826600992,"021","Glenn",12806.2711332137,12293.6018092067,-512.669324007084,-4.00326776369312
"cliswa","Cliff Swallow",-0.232010696015027,-2.28498729476952,1.61804132425624,"021","Glenn",12806.2711332137,12293.6018092067,-512.669324007084,-4.00326776369312
"cliswa","Cliff Swallow",-2.85894415083903,-4.07169139096658,-1.8573174200683,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-2.52208930242813,-5.16662880220562,0.367247015789612,"007","Butte",17305.4807113162,13250.4978645403,-4054.98284677592,-23.4317839210575
"cliswa","Cliff Swallow",-0.253624595530733,-3.15032232130186,2.84793918407307,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"cliswa","Cliff Swallow",-2.15192286459035,-4.32951371158946,-0.813202323985766,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"cliswa","Cliff Swallow",-1.58201007032228,-2.70504620037638,0.398201142624433,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"cliswa","Cliff Swallow",-1.54453827738602,-2.93915939126754,-0.200985099494386,"101","Sutter",10166.2668812465,11085.6980230267,919.431141780167,9.04394063740568
"cliswa","Cliff Swallow",-1.57959367520343,-2.83101178165987,-0.44405592485234,"115","Yuba",4677.3119707775,5894.797938218,1217.4859674405,26.0296079253854
"cliswa","Cliff Swallow",-4.84254891809757,-7.62814556380838,-2.39320812262342,"057","Nevada",584.85944172875,614.976583328333,30.1171415995833,5.14946659842951
"cliswa","Cliff Swallow",-4.29528816512066,-7.24718798815953,-2.83705695782442,"057","Nevada",584.85944172875,614.976583328333,30.1171415995833,5.14946659842951
"cliswa","Cliff Swallow",-4.83311050524855,-7.50416179434243,-2.63154279732834,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"cliswa","Cliff Swallow",-5.20143655306302,-6.69749278214712,-3.08624919497723,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"cliswa","Cliff Swallow",-2.95188470968698,-5.05727061966999,-0.864848206054078,"033","Lake",1718.69798919125,1912.59252373333,193.894534542083,11.2814779421091
"cliswa","Cliff Swallow",-1.82099020540606,-2.96102323966306,-0.498864548321901,"033","Lake",1718.69798919125,1912.59252373333,193.894534542083,11.2814779421091
"cliswa","Cliff Swallow",-2.06477823500878,-4.51318624603965,-1.0008058540626,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"cliswa","Cliff Swallow",-0.138053066104981,-2.27823863558293,1.1506461109977,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"cliswa","Cliff Swallow",-1.46037393717544,-3.01083915010114,-0.103126005586174,"101","Sutter",10166.2668812465,11085.6980230267,919.431141780167,9.04394063740568
"cliswa","Cliff Swallow",-2.40254042300837,-3.43429246009324,-1.55649905320938,"115","Yuba",4677.3119707775,5894.797938218,1217.4859674405,26.0296079253854
"cliswa","Cliff Swallow",-3.2440205501289,-6.30226230521678,-2.12079984876343,"057","Nevada",584.85944172875,614.976583328333,30.1171415995833,5.14946659842951
"cliswa","Cliff Swallow",-2.2456897899724,-4.86033584586722,-0.132692220705608,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"cliswa","Cliff Swallow",1.67938661460915,0.0341267916365922,3.65488776027135,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"cliswa","Cliff Swallow",-3.66197194509668,-5.54530980348764,-1.34975632620513,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-1.83237804114537,-4.01237569362543,0.625325885091319,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-3.42516758230031,-5.34022482779034,-0.629089525040118,"033","Lake",1718.69798919125,1912.59252373333,193.894534542083,11.2814779421091
"cliswa","Cliff Swallow",-0.812193198792836,-2.25905565237055,0.149245711937437,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"cliswa","Cliff Swallow",-0.620274126175576,-2.48456198305293,1.21065641613189,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"cliswa","Cliff Swallow",0.180877825016608,-1.69126568885657,1.9468069678393,"101","Sutter",10166.2668812465,11085.6980230267,919.431141780167,9.04394063740568
"cliswa","Cliff Swallow",-2.65791114071056,-3.83030229630905,-1.51508028990567,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"cliswa","Cliff Swallow",-3.44823955062437,-4.55507829413866,-2.25406128749612,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"cliswa","Cliff Swallow",-0.54801962945022,-2.64443200386689,1.77908989833124,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-4.47878879164305,-5.83202566414825,-1.42009395644305,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-3.43136423525484,-5.61681677506361,-1.75727707494605,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-3.28216782838251,-4.82605829490209,-1.60109546631366,"055","Napa",469.19231620375,817.717455058333,348.525138854583,74.281936600009
"cliswa","Cliff Swallow",-0.23255918573656,-0.991313754430866,0.785171983203515,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"cliswa","Cliff Swallow",-0.912186398004364,-2.7257687817935,0.356388781110336,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"cliswa","Cliff Swallow",-1.38681583653856,-2.60305082268694,0.500321289886772,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"cliswa","Cliff Swallow",-2.75253598700594,-3.6130958672435,-1.80008931501661,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"cliswa","Cliff Swallow",-2.52703922541784,-5.65376394584606,-0.985184580751823,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"cliswa","Cliff Swallow",-1.46019636418512,-3.60880772442003,0.495239183514368,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"cliswa","Cliff Swallow",-1.82807405852538,-2.73647206259627,-0.678273012429519,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-1.77114295718425,-2.78550614483193,-0.802685483152773,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"cliswa","Cliff Swallow",-0.897017716976608,-2.14303236159681,0.262200361998953,"055","Napa",469.19231620375,817.717455058333,348.525138854583,74.281936600009
"cliswa","Cliff Swallow",-2.25497633112786,-3.70043446544043,-1.42642500334124,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"cliswa","Cliff Swallow",-0.801984174853405,-1.82962199001205,0.832806479024581,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"cliswa","Cliff Swallow",-1.82250085000431,-3.30351466945244,-0.478236684856089,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"cliswa","Cliff Swallow",-1.70615122069405,-3.55477521017857,-0.580075833644152,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"cliswa","Cliff Swallow",-2.2047845119835,-3.90494237364447,-1.10407446539599,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"cliswa","Cliff Swallow",-2.68104797337565,-3.36512052517689,-1.94606533811585,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"cliswa","Cliff Swallow",-1.87960266444516,-3.07753120322779,-0.31169493681044,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"cliswa","Cliff Swallow",-1.65722717003731,-2.94597850959249,-0.668412445899345,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"cliswa","Cliff Swallow",-1.6927019183077,-2.89260706071248,-0.455771732986407,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
