year,county_cd,chemical,lbs
2017,28,chlorpyrifos,2.2244
2017,30,chlorpyrifos,579.5224611699999
2017,31,chlorpyrifos,13.1346797
2017,33,chlorpyrifos,10983.92199264
2017,34,chlorpyrifos,739.8565368
2017,35,chlorpyrifos,10.785057
2017,36,chlorpyrifos,204.62706419999998
2017,37,chlorpyrifos,1513.3787256
2017,39,chlorpyrifos,27104.58201164
2017,39,oxamyl,336.343014
2017,40,chlorpyrifos,617.4303539
2017,41,chlorpyrifos,0.9556
2017,42,chlorpyrifos,983.6096794000001
2017,42,oxamyl,79.648176
2017,43,chlorpyrifos,5.88304404
2017,43,oxamyl,9.956016
2017,44,chlorpyrifos,102.6440464
2017,45,chlorpyrifos,206.6657204
2017,47,chlorpyrifos,3892.8810756199996
2017,47,oxamyl,2.9853180000000004
2017,48,chlorpyrifos,6560.714697359999
2017,49,chlorpyrifos,413.38354970000006
2017,50,chlorpyrifos,21962.98190356
2017,51,chlorpyrifos,20191.658236299998
2017,52,chlorpyrifos,4240.228614899999
2017,54,chlorpyrifos,163309.93138676
2017,56,chlorpyrifos,24802.7103481
2017,56,oxamyl,24.651096
2017,57,chlorpyrifos,4337.9433861
2017,58,chlorpyrifos,11105.7365822
2018,01,chlorpyrifos,31.8932376
2018,04,chlorpyrifos,8373.750581219998
2018,05,chlorpyrifos,129.926086
2018,06,chlorpyrifos,9115.4622728
2018,07,chlorpyrifos,829.1892621
2018,09,chlorpyrifos,6.0776909
2018,10,chlorpyrifos,115300.25361518
2018,10,oxamyl,11351.553858
2018,11,chlorpyrifos,11342.20952532
2018,12,chlorpyrifos,3.4055832
2018,13,chlorpyrifos,26656.1351072
2018,13,oxamyl,318.592512
2018,14,chlorpyrifos,12.567471
2018,15,chlorpyrifos,144181.3157292
2018,15,oxamyl,11547.718769999996
2018,16,chlorpyrifos,92147.5615474
2018,16,oxamyl,46358.01806999999
2018,17,chlorpyrifos,145.61734439999998
2018,18,chlorpyrifos,75.66861139999999
2018,19,chlorpyrifos,671.5122129599999
2018,19,oxamyl,124.624752
2018,20,chlorpyrifos,29434.0458387
2018,21,chlorpyrifos,0.580247
2018,24,chlorpyrifos,29104.708016200002
2018,24,oxamyl,105.155448
2018,25,chlorpyrifos,2300.9828611000003
2018,25,oxamyl,275.24133
2018,26,chlorpyrifos,37.992014999999995
2018,27,chlorpyrifos,732.1759597399999
2018,27,oxamyl,2626.472904
2018,29,chlorpyrifos,0.002811
2018,30,chlorpyrifos,559.0534061200001
2018,31,chlorpyrifos,785.8517249999999
2018,32,chlorpyrifos,310.02396780000004
2018,33,chlorpyrifos,2859.2093964
2018,33,oxamyl,26.144496
2018,34,chlorpyrifos,515.4477295
2018,35,chlorpyrifos,59.5422477
2018,35,oxamyl,156.369192
2018,36,chlorpyrifos,239.0113019
2018,37,chlorpyrifos,1005.6681894999999
2018,37,oxamyl,344.956056
2018,39,chlorpyrifos,15605.37410728
2018,39,oxamyl,1229.940978
2018,40,chlorpyrifos,12.6365312
2018,40,oxamyl,182.09546400000002
2018,42,chlorpyrifos,71.3985772
2018,42,oxamyl,1335.2183999999997
2018,43,chlorpyrifos,1.8321749
2018,43,oxamyl,568.7205120000001
2018,44,chlorpyrifos,5.2629660000000005
2018,45,chlorpyrifos,66.4033733
2018,47,chlorpyrifos,3020.4444349000005
2018,47,oxamyl,472.09857
2018,48,chlorpyrifos,5049.25337246
2018,49,chlorpyrifos,116.16731460000001
2018,50,chlorpyrifos,8165.897620920001
2018,51,chlorpyrifos,7763.9423964
2018,52,chlorpyrifos,2276.94076954
2018,54,chlorpyrifos,68995.8343581
2018,54,oxamyl,408.492126
2018,56,chlorpyrifos,3143.4715692
2018,56,oxamyl,1287.850488
2018,57,chlorpyrifos,3029.15594618
2018,58,chlorpyrifos,6862.9481473000005
2019,01,chlorpyrifos,0.029683
2019,07,chlorpyrifos,22.3424889
2019,09,chlorpyrifos,0.003936
2019,10,chlorpyrifos,468.5628253
2019,10,oxamyl,15459.00471
2019,13,oxamyl,667.880688
2019,15,chlorpyrifos,2295.3558254
2019,15,oxamyl,19133.384022000002
2019,16,chlorpyrifos,46.6420322
2019,16,oxamyl,54908.697732
2019,17,chlorpyrifos,402.3539872
2019,19,chlorpyrifos,684.603276
2019,19,oxamyl,268.59042
2019,20,oxamyl,1028.237376
